DIST_CODE,YEAR,STATE_CODE,STATE_NAME,DIST_NAME,RICE_AREA_(1000_HA),RICE_PRODUCTION_(1000_TONS),RICE_YIELD_(KG_PER_HA),WHEAT_AREA_(1000_HA),WHEAT_PRODUCTION_(1000_TONS),WHEAT_YIELD_(KG_PER_HA),PEARL_MILLET_AREA_(1000_HA),PEARL_MILLET_PRODUCTION_(1000_TONS),PEARL_MILLET_YIELD_(KG_PER_HA),MAIZE_AREA_(1000_HA),MAIZE_PRODUCTION_(1000_TONS),MAIZE_YIELD_(KG_PER_HA),FINGER_MILLET_AREA_(1000_HA),FINGER_MILLET_PRODUCTION_(1000_TONS),FINGER_MILLET_YIELD_(KG_PER_HA),BARLEY_AREA_(1000_HA),BARLEY_PRODUCTION_(1000_TONS),BARLEY_YIELD_(KG_PER_HA),STATE,NDVI,VCI_(%),LATITUDE,LONGITUDE,DISTRICT_NAME,RH2M,T2M,GDD,T2M_MAX,Moisture_Stress,Thermal_Time
1,2008,14,Chhattisgarh,Durg,803.37,704.09,876.42,36.46,31.19,855.47,0.0,0.0,0.0,3.4,3.35,984.92,0.2,0.06,300.0,0.06,0.06,1000.0,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,61.06,25.62,15.62,45.1,0.41958729118899446,704.462
1,2009,14,Chhattisgarh,Durg,789.04,622.05,788.37,42.44,38.12,898.09,0.0,0.0,0.0,3.25,3.4,1045.97,0.17,0.04,235.29,0.06,0.01,166.67,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,55.62,26.91,16.91,46.28,0.48381877022653724,782.5948000000001
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1695.77,46.12,45.87,994.69,1.67,2.41,1443.11,3.17,4.63,1457.32,0.0,0.0,0.0,0.09,0.07,777.78,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,58.98,26.75,16.75,47.34,0.45354357409291285,792.945
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1756.23,44.98,50.19,1115.68,0.0,0.0,0.0,3.63,4.67,1285.56,0.16,0.04,250.0,0.15,0.17,1133.33,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,63.88,25.27,15.27,44.7,0.39558547276142764,682.5690000000001
1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1900.97,43.87,47.69,1087.1,0.0,0.0,0.0,3.12,4.8,1538.56,0.18,0.05,277.78,0.19,0.11,578.95,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,60.68,25.82,15.82,47.26,0.42551087673038895,747.6532
1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1581.86,41.54,43.33,1043.06,0.08,0.07,909.09,3.64,6.34,1742.2,0.17,0.04,235.29,0.22,0.12,545.45,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,64.6,25.64,15.64,47.54,0.3969040247678019,743.5256
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1729.89,44.25,50.96,1151.49,0.06,0.04,750.0,4.02,5.84,1451.66,0.13,0.03,230.77,0.14,0.11,785.71,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,63.66,25.63,15.63,46.89,0.402607602890355,732.8907
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1076.95,48.72,54.6,1120.74,0.0,0.0,0.0,9.87,14.47,1467.17,0.06,0.01,166.67,0.04,0.03,750.0,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,62.03,25.97,15.97,46.61,0.4186683862647106,744.3617
1,2016,14,Chhattisgarh,Durg,858.91,1791.66,2085.96,48.94,61.84,1263.55,0.0,0.0,1000.0,7.95,16.12,2028.48,0.06,0.01,209.68,0.01,0.01,1333.33,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,58.64,26.53,16.53,45.49,0.4524215552523875,751.9497000000001
1,2017,14,Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0.01,0.0,333.33,9.25,18.09,1956.03,0.01,0.0,285.71,0.0,0.0,1000.0,Chhattisgarh,0.47,100.0,21.2,81.3,Durg,59.14,26.23,16.23,46.62,0.4435238417314846,756.6426
