Latitude,Longitude,Year,CDD18_3,PRECTOTCORR,PS,QV2M,RH2M,T2M,T2MDEW,T2M_MAX,District Name,GDD,Temp_Range
8.3,76.6,2008,,5.38,99.93,17.63,81.57,26.49,22.87,34.28,Thiruvananthapuram,16.49,7.790000000000003
8.3,76.6,2009,3243.14,4.26,99.97,17.58,79.72,26.91,22.81,36.1,Thiruvananthapuram,16.91,9.190000000000001
8.3,76.6,2010,3244.7,5.28,99.94,17.84,80.75,26.91,23.07,36.31,Thiruvananthapuram,16.91,9.400000000000002
8.3,76.6,2011,3186.38,4.05,99.93,17.45,79.53,26.75,22.73,35.07,Thiruvananthapuram,16.75,8.32
8.3,76.6,2012,3337.06,3.14,99.94,17.44,77.82,27.15,22.69,35.09,Thiruvananthapuram,17.15,7.940000000000005
8.3,76.6,2013,3258.51,4.85,99.97,17.53,79.38,26.96,22.78,35.32,Thiruvananthapuram,16.96,8.36
8.3,76.6,2014,3273.59,5.17,100.0,17.77,79.97,27.02,23.0,36.15,Thiruvananthapuram,17.02,9.129999999999999
8.3,76.6,2015,3260.61,5.72,100.05,18.01,80.97,27.01,23.24,35.55,Thiruvananthapuram,17.01,8.539999999999996
8.3,76.6,2016,3395.97,3.15,100.02,17.76,78.75,27.28,23.02,36.06,Thiruvananthapuram,17.28,8.780000000000001
8.3,76.6,2017,3330.2,4.64,99.97,17.77,79.47,27.14,22.97,35.76,Thiruvananthapuram,17.14,8.619999999999997
8.3,77.3,2008,,3.74,98.0,16.51,81.79,25.21,21.44,35.9,Kanyakumari,15.21,10.689999999999998
8.3,77.3,2009,3023.75,2.89,98.03,16.14,77.78,25.92,21.02,38.99,Kanyakumari,15.920000000000002,13.07
8.3,77.3,2010,3026.17,3.23,98.0,16.47,79.2,25.88,21.4,39.31,Kanyakumari,15.879999999999999,13.430000000000003
8.3,77.3,2011,3054.75,2.39,97.99,15.97,76.7,25.95,20.92,38.65,Kanyakumari,15.95,12.7
8.3,77.3,2012,3129.31,2.12,98.01,16.12,76.49,26.12,21.06,38.45,Kanyakumari,16.12,12.330000000000002
8.3,77.3,2013,3009.53,2.82,98.03,16.29,78.38,25.86,21.24,38.61,Kanyakumari,15.86,12.75
8.3,77.3,2014,2990.9,3.44,98.06,16.48,79.29,25.86,21.4,39.25,Kanyakumari,15.86,13.39
8.3,77.3,2015,2950.86,3.95,98.12,16.85,81.04,25.78,21.81,37.64,Kanyakumari,15.780000000000001,11.86
8.3,77.3,2016,3304.03,1.59,98.07,16.18,75.44,26.53,21.13,39.54,Kanyakumari,16.53,13.009999999999998
8.3,77.3,2017,3212.18,2.79,98.03,16.25,76.26,26.39,21.11,39.16,Kanyakumari,16.39,12.769999999999996
8.5,76.4,2008,,6.19,100.94,18.22,79.54,27.51,23.61,30.06,Kollam,17.51,2.549999999999997
8.5,76.4,2009,3424.77,5.22,100.98,18.42,79.57,27.69,23.78,30.36,Kollam,17.69,2.669999999999998
8.5,76.4,2010,3440.15,6.02,100.95,18.65,80.29,27.74,23.99,30.69,Kollam,17.74,2.950000000000003
8.5,76.4,2011,3423.71,4.84,100.94,18.23,78.83,27.69,23.62,30.09,Kollam,17.69,2.3999999999999986
8.5,76.4,2012,3489.3,3.61,100.96,18.33,78.48,27.84,23.71,30.45,Kollam,17.84,2.6099999999999994
8.5,76.4,2013,3438.64,5.8,100.97,18.35,79.21,27.74,23.74,30.13,Kollam,17.74,2.3900000000000006
8.5,76.4,2014,3485.48,5.73,101.01,18.55,79.39,27.86,23.91,30.56,Kollam,17.86,2.6999999999999993
8.5,76.4,2015,3532.85,5.61,101.06,18.62,79.15,27.98,23.98,30.37,Kollam,17.98,2.3900000000000006
8.5,76.4,2016,3525.16,4.16,101.03,18.64,79.44,27.95,24.01,30.63,Kollam,17.95,2.6799999999999997
8.5,76.4,2017,3480.97,5.61,100.98,18.66,79.86,27.86,24.0,30.18,Kollam,17.86,2.3200000000000003
8.7,77.8,2008,,3.74,98.0,16.51,81.79,25.21,21.44,35.9,Thirunelveli,15.21,10.689999999999998
8.7,77.8,2009,3023.75,2.89,98.03,16.14,77.78,25.92,21.02,38.99,Thirunelveli,15.920000000000002,13.07
8.7,77.8,2010,3026.17,3.23,98.0,16.47,79.2,25.88,21.4,39.31,Thirunelveli,15.879999999999999,13.430000000000003
8.7,77.8,2011,3054.75,2.39,97.99,15.97,76.7,25.95,20.92,38.65,Thirunelveli,15.95,12.7
8.7,77.8,2012,3129.31,2.12,98.01,16.12,76.49,26.12,21.06,38.45,Thirunelveli,16.12,12.330000000000002
8.7,77.8,2013,3009.53,2.82,98.03,16.29,78.38,25.86,21.24,38.61,Thirunelveli,15.86,12.75
8.7,77.8,2014,2990.9,3.44,98.06,16.48,79.29,25.86,21.4,39.25,Thirunelveli,15.86,13.39
8.7,77.8,2015,2950.86,3.95,98.12,16.85,81.04,25.78,21.81,37.64,Thirunelveli,15.780000000000001,11.86
8.7,77.8,2016,3304.03,1.59,98.07,16.18,75.44,26.53,21.13,39.54,Thirunelveli,16.53,13.009999999999998
8.7,77.8,2017,3212.18,2.79,98.03,16.25,76.26,26.39,21.11,39.16,Thirunelveli,16.39,12.769999999999996
