"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)"
"1","2008","14","Chhattisgarh","Durg","803.37","704.09","876.42","36.46","31.19","855.47","0.0","0.0","0.0","3.4","3.35","984.92","0.2","0.06","300.0","0.06","0.06","1000.0"
"1","2009","14","Chhattisgarh","Durg","789.04","622.05","788.37","42.44","38.12","898.09","0.0","0.0","0.0","3.25","3.4","1045.97","0.17","0.04","235.29","0.06","0.01","166.67"
"1","2010","14","Chhattisgarh","Durg","777.92","1319.18","1695.77","46.12","45.87","994.69","1.67","2.41","1443.11","3.17","4.63","1457.32","0.0","0.0","0.0","0.09","0.07","777.78"
"1","2011","14","Chhattisgarh","Durg","806.55","1416.48","1756.23","44.98","50.19","1115.68","0.0","0.0","0.0","3.63","4.67","1285.56","0.16","0.04","250.0","0.15","0.17","1133.33"
"1","2012","14","Chhattisgarh","Durg","807.07","1534.22","1900.97","43.87","47.69","1087.1","0.0","0.0","0.0","3.12","4.8","1538.56","0.18","0.05","277.78","0.19","0.11","578.95"
"1","2013","14","Chhattisgarh","Durg","819.44","1296.24","1581.86","41.54","43.33","1043.06","0.08","0.07","909.09","3.64","6.34","1742.2","0.17","0.04","235.29","0.22","0.12","545.45"
"1","2014","14","Chhattisgarh","Durg","834.87","1444.24","1729.89","44.25","50.96","1151.49","0.06","0.04","750.0","4.02","5.84","1451.66","0.13","0.03","230.77","0.14","0.11","785.71"
"1","2015","14","Chhattisgarh","Durg","817.68","880.6","1076.95","48.72","54.6","1120.74","0.0","0.0","0.0","9.87","14.47","1467.17","0.06","0.01","166.67","0.04","0.03","750.0"
"1","2016","14","Chhattisgarh","Durg","858.91","1791.66","2085.96","48.94","61.84","1263.55","0.0","0.0","1000.0","7.95","16.12","2028.48","0.06","0.01","209.68","0.01","0.01","1333.33"
"1","2017","14","Chhattisgarh","Durg","841.13","983.21","1168.92","43.5","50.19","1153.77","0.01","0.0","333.33","9.25","18.09","1956.03","0.01","0.0","285.71","0.0","0.0","1000.0"
"2","2008","14","Chhattisgarh","Bastar","627.78","729.33","1161.76","1.71","2.6","1520.47","0.0","0.0","0.0","33.41","53.87","1612.39","6.88","1.95","283.43","0.0","0.0","0.0"
"2","2009","14","Chhattisgarh","Bastar","626.66","682.46","1089.04","1.64","2.95","1798.78","0.0","0.0","0.0","34.77","61.36","1764.74","6.94","1.85","266.57","0.0","0.0","0.0"
"2","2010","14","Chhattisgarh","Bastar","621.89","1184.98","1905.45","1.6","3.2","2000.0","0.0","0.0","0.0","35.7","72.3","2025.21","0.0","0.0","0.0","0.0","0.0","0.0"
"2","2011","14","Chhattisgarh","Bastar","627.73","772.88","1231.23","1.33","2.49","1872.18","0.0","0.0","0.0","40.16","82.85","2063.0","6.74","1.69","250.74","0.0","0.0","0.0"
"2","2012","14","Chhattisgarh","Bastar","637.8","1341.33","2103.06","1.25","2.47","1976.0","0.0","0.0","0.0","41.04","84.27","2053.36","6.77","1.98","292.47","0.0","0.0","0.0"
"2","2013","14","Chhattisgarh","Bastar","642.79","1265.91","1969.4","0.97","1.75","1804.12","0.0","0.0","0.0","42.38","99.48","2347.33","6.45","1.62","251.16","0.0","0.0","0.0"
"2","2014","14","Chhattisgarh","Bastar","646.7","1377.04","2129.33","0.81","1.86","2296.3","0.0","0.0","0.0","43.1","86.93","2016.94","6.39","1.68","262.91","0.0","0.0","0.0"
"2","2015","14","Chhattisgarh","Bastar","644.56","664.46","1030.87","0.84","1.75","2083.33","0.0","0.0","0.0","41.36","88.98","2151.35","6.6","1.26","190.91","0.0","0.0","0.0"
"2","2016","14","Chhattisgarh","Bastar","656.26","1294.97","1973.24","0.67","1.53","2265.58","0.0","0.0","0.0","41.5","123.66","2979.5","6.52","1.61","246.09","0.0","0.0","0.0"
"2","2017","14","Chhattisgarh","Bastar","660.36","801.82","1214.23","1.24","2.22","1783.13","0.0","0.0","0.0","41.94","120.22","2866.36","6.3","1.44","229.02","0.0","0.0","0.0"
"3","2008","14","Chhattisgarh","Raipur","942.24","1252.38","1329.15","10.82","11.04","1020.33","0.0","0.0","0.0","1.29","1.39","1077.52","0.84","0.27","321.43","0.0","0.0","0.0"
"3","2009","14","Chhattisgarh","Raipur","928.66","1307.24","1407.66","12.67","18.01","1421.47","0.0","0.0","0.0","1.34","2.13","1589.55","0.78","0.06","76.92","0.0","0.0","0.0"
"3","2010","14","Chhattisgarh","Raipur","915.4","1521.13","1661.71","11.3","15.2","1345.13","0.0","0.0","0.0","1.3","1.8","1384.62","0.0","0.0","0.0","0.0","0.0","0.0"
"3","2011","14","Chhattisgarh","Raipur","958.01","1421.37","1483.67","10.54","17.89","1697.34","0.01","0.01","1000.0","2.12","3.6","1698.11","0.53","0.16","301.89","0.0","0.0","0.0"
"3","2012","14","Chhattisgarh","Raipur","993.68","1974.69","1987.25","9.76","17.75","1818.65","0.01","0.01","1000.0","10.21","17.05","1669.93","0.33","0.11","333.33","0.0","0.0","0.0"
"3","2013","14","Chhattisgarh","Raipur","1009.22","1749.21","1733.23","9.21","15.86","1722.04","0.0","0.0","0.0","13.01","22.77","1750.19","0.17","0.05","294.12","0.0","0.0","0.0"
"3","2014","14","Chhattisgarh","Raipur","1034.99","2127.73","2055.8","10.38","21.24","2046.24","0.01","0.01","1000.0","14.75","29.67","2011.53","0.2","0.05","250.0","0.0","0.0","0.0"
"3","2015","14","Chhattisgarh","Raipur","986.91","1412.83","1431.57","10.99","19.3","1756.14","0.0","0.0","0.0","11.14","20.1","1804.31","0.19","0.05","263.16","0.0","0.0","0.0"
"3","2016","14","Chhattisgarh","Raipur","1009.29","2432.48","2410.09","8.8","17.95","2038.28","0.02","0.02","947.37","7.1","18.15","2557.48","0.17","0.04","255.95","0.0","0.0","0.0"
"3","2017","14","Chhattisgarh","Raipur","959.01","1520.95","1585.96","14.56","23.66","1625.61","0.0","0.0","0.0","6.13","13.67","2228.27","0.19","0.04","229.17","0.0","0.0","0.0"
"4","2008","14","Chhattisgarh","Bilaspur","749.56","1070.95","1428.76","17.54","18.05","1029.04","0.07","0.03","428.57","9.7","11.18","1152.73","0.0","0.0","0.0","0.17","0.15","882.35"
"4","2009","14","Chhattisgarh","Bilaspur","696.49","994.29","1427.57","24.25","28.14","1160.63","0.02","0.0","0.0","11.67","17.12","1467.12","0.0","0.0","0.0","0.23","0.18","782.61"
"4","2010","14","Chhattisgarh","Bilaspur","705.67","1333.61","1889.83","24.88","30.13","1210.79","0.0","0.0","0.0","11.63","18.67","1606.28","0.0","0.0","0.0","0.23","0.12","521.74"
"4","2011","14","Chhattisgarh","Bilaspur","749.08","1557.35","2079.01","19.08","26.28","1377.75","0.01","0.01","1000.0","9.3","12.72","1368.1","0.0","0.0","0.0","0.24","0.17","708.33"
"4","2012","14","Chhattisgarh","Bilaspur","747.27","1746.82","2337.61","18.7","27.31","1460.32","0.02","0.01","500.0","8.8","15.8","1795.44","0.0","0.0","0.0","0.23","0.11","478.26"
"4","2013","14","Chhattisgarh","Bilaspur","726.15","1577.16","2171.95","19.88","26.97","1356.73","0.05","0.04","751.45","8.94","15.51","1734.72","0.0","0.0","0.0","0.23","0.2","869.57"
"4","2014","14","Chhattisgarh","Bilaspur","728.84","1683.92","2310.43","18.11","28.15","1554.83","0.05","0.03","515.04","9.03","15.57","1724.75","0.0","0.0","0.0","0.23","0.29","1260.87"
"4","2015","14","Chhattisgarh","Bilaspur","731.83","1340.65","1831.92","17.82","27.03","1516.74","0.02","0.01","500.0","8.62","12.22","1416.38","0.0","0.0","0.0","0.21","0.11","523.81"
"4","2016","14","Chhattisgarh","Bilaspur","727.5","1858.19","2554.21","16.2","25.1","1549.23","0.02","0.01","466.51","8.1","17.11","2111.81","0.0","0.0","0.0","0.16","0.15","920.25"
"4","2017","14","Chhattisgarh","Bilaspur","727.94","1295.71","1779.97","15.8","21.72","1374.7","0.02","0.01","437.5","7.61","15.83","2080.79","0.0","0.0","0.0","0.18","0.18","983.33"
"5","2008","14","Chhattisgarh","Raigarh","423.29","500.83","1183.18","3.51","4.86","1384.62","0.05","0.02","400.0","7.05","10.15","1439.72","0.7","0.18","257.14","0.02","0.02","1000.0"
